OrderID,PartType,OperationSequence,Quantity,M1_Ruest,M1_Proc,M2_Ruest,M2_Proc,M3_Ruest,M3_Proc,Deadline_days
1,B,M1->M3,6,21,24,0,0,22,30,3
2,E,M3,5,0,0,0,0,12,25,4
3,E,M3,42,0,0,0,0,13,252,6
4,B,M1->M3,14,32,56,0,0,5,112,14
5,B,M1->M3,18,26,54,0,0,6,90,5
6,E,M3,49,0,0,0,0,5,98,8
7,D,M1->M2,16,51,64,24,240,0,0,7
8,A,M1->M2->M3,16,34,176,14,112,18,64,14
9,E,M3,38,0,0,0,0,7,190,7
10,B,M1->M3,39,33,312,0,0,28,117,10
11,D,M1->M2,7,31,56,39,56,0,0,7
12,E,M3,40,0,0,0,0,7,80,13
13,E,M3,9,0,0,0,0,25,36,10
14,D,M1->M2,33,36,99,32,363,0,0,6
15,A,M1->M2->M3,33,23,363,14,462,24,165,9
16,A,M1->M2->M3,12,55,144,32,96,14,24,14
17,C,M2->M3,17,0,0,32,119,20,85,14
18,D,M1->M2,7,35,42,29,91,0,0,5
19,C,M2->M3,38,0,0,15,532,12,190,4
20,C,M2->M3,18,0,0,33,270,27,72,9
21,C,M2->M3,22,0,0,35,176,29,88,10
22,A,M1->M2->M3,31,58,279,43,372,18,186,6
23,D,M1->M2,9,20,81,19,63,0,0,7
24,D,M1->M2,14,44,154,40,210,0,0,6
25,A,M1->M2->M3,20,57,200,43,300,24,140,8
26,B,M1->M3,24,46,288,0,0,5,48,6
27,C,M2->M3,24,0,0,35,192,20,96,10
28,B,M1->M3,46,58,414,0,0,22,138,13
29,D,M1->M2,44,25,264,14,352,0,0,9
30,A,M1->M2->M3,38,49,304,22,190,26,76,2
31,D,M1->M2,39,46,117,28,507,0,0,8
32,E,M3,25,0,0,0,0,28,100,7
33,C,M2->M3,13,0,0,27,169,26,78,9
34,B,M1->M3,18,27,90,0,0,27,72,9
35,E,M3,5,0,0,0,0,9,40,9
36,E,M3,6,0,0,0,0,18,42,4
37,C,M2->M3,11,0,0,26,143,17,66,5
38,C,M2->M3,7,0,0,44,35,7,42,8
39,D,M1->M2,26,38,286,43,390,0,0,10
40,B,M1->M3,13,20,91,0,0,9,26,5
41,D,M1->M2,28,16,308,42,196,0,0,10
42,C,M2->M3,19,0,0,27,152,10,95,2
43,D,M1->M2,7,25,56,45,91,0,0,13
44,D,M1->M2,18,59,72,29,180,0,0,4
45,A,M1->M2->M3,9,23,81,10,45,17,54,14
46,D,M1->M2,14,50,126,25,112,0,0,14
47,A,M1->M2->M3,43,24,387,14,559,28,172,11
48,C,M2->M3,33,0,0,18,330,6,165,14
49,E,M3,14,0,0,0,0,10,112,14
50,D,M1->M2,35,43,140,44,210,0,0,7
